From Date,To Date,AT,BP,NO,NO2,NOx,Ozone,PM10,RH,SO2,SR,PM2.5
01-01-2015 00:00,01-01-2015 08:00,,,,,,,,,,,
01-01-2015 08:00,01-01-2015 16:00,,,,,,,,,,,
01-01-2015 16:00,02-01-2015 00:00,,,,,,,,,,,
02-01-2015 00:00,02-01-2015 08:00,,,,,,,,,,,
02-01-2015 08:00,02-01-2015 16:00,,,,,,,,,,,
02-01-2015 16:00,03-01-2015 00:00,,,,,,,,,,,
03-01-2015 00:00,03-01-2015 08:00,,,,,,,,,,,
03-01-2015 08:00,03-01-2015 16:00,,,,,,,,,,,
03-01-2015 16:00,04-01-2015 00:00,,,,,,,,,,,
04-01-2015 00:00,04-01-2015 08:00,,,,,,,,,,,
04-01-2015 08:00,04-01-2015 16:00,,,,,,,,,,,
04-01-2015 16:00,05-01-2015 00:00,,,,,,,,,,,
05-01-2015 00:00,05-01-2015 08:00,,,,,,,,,,,
05-01-2015 08:00,05-01-2015 16:00,,,,,,,,,,,
05-01-2015 16:00,06-01-2015 00:00,,,,,,,,,,,
06-01-2015 00:00,06-01-2015 08:00,,,,,,,,,,,
06-01-2015 08:00,06-01-2015 16:00,,,,,,,,,,,
06-01-2015 16:00,07-01-2015 00:00,,,,,,,,,,,
07-01-2015 00:00,07-01-2015 08:00,,,,,,,,,,,
07-01-2015 08:00,07-01-2015 16:00,,,,,,,,,,,
07-01-2015 16:00,08-01-2015 00:00,,,,,,,,,,,
08-01-2015 00:00,08-01-2015 08:00,,,,,,,,,,,
08-01-2015 08:00,08-01-2015 16:00,,,,,,,,,,,
08-01-2015 16:00,09-01-2015 00:00,,,,,,,,,,,
09-01-2015 00:00,09-01-2015 08:00,,,,,,,,,,,
09-01-2015 08:00,09-01-2015 16:00,,,,,,,,,,,
09-01-2015 16:00,10-01-2015 00:00,,,,,,,,,,,
10-01-2015 00:00,10-01-2015 08:00,,,,,,,,,,,
10-01-2015 08:00,10-01-2015 16:00,,,,,,,,,,,
10-01-2015 16:00,11-01-2015 00:00,,,,,,,,,,,
11-01-2015 00:00,11-01-2015 08:00,,,,,,,,,,,
11-01-2015 08:00,11-01-2015 16:00,,,,,,,,,,,
11-01-2015 16:00,12-01-2015 00:00,,,,,,,,,,,
12-01-2015 00:00,12-01-2015 08:00,,,,,,,,,,,
12-01-2015 08:00,12-01-2015 16:00,,,,,,,,,,,
12-01-2015 16:00,13-01-2015 00:00,,,,,,,,,,,
13-01-2015 00:00,13-01-2015 08:00,,,,,,,,,,,
13-01-2015 08:00,13-01-2015 16:00,,,,,,,,,,,
13-01-2015 16:00,14-01-2015 00:00,,,,,,,,,,,
14-01-2015 00:00,14-01-2015 08:00,,,,,,,,,,,
14-01-2015 08:00,14-01-2015 16:00,,,,,,,,,,,
14-01-2015 16:00,15-01-2015 00:00,,,,,,,,,,,
15-01-2015 00:00,15-01-2015 08:00,,,,,,,,,,,
15-01-2015 08:00,15-01-2015 16:00,,,,,,,,,,,
15-01-2015 16:00,16-01-2015 00:00,,,,,,,,,,,
16-01-2015 00:00,16-01-2015 08:00,,,,,,,,,,,
16-01-2015 08:00,16-01-2015 16:00,,,,,,,,,,,
16-01-2015 16:00,17-01-2015 00:00,,,,,,,,,,,
17-01-2015 00:00,17-01-2015 08:00,,,,,,,,,,,
17-01-2015 08:00,17-01-2015 16:00,,,,,,,,,,,
17-01-2015 16:00,18-01-2015 00:00,,,,,,,,,,,
18-01-2015 00:00,18-01-2015 08:00,,,,,,,,,,,
18-01-2015 08:00,18-01-2015 16:00,,,,,,,,,,,
18-01-2015 16:00,19-01-2015 00:00,,,,,,,,,,,
19-01-2015 00:00,19-01-2015 08:00,,,,,,,,,,,
19-01-2015 08:00,19-01-2015 16:00,,,,,,,,,,,
19-01-2015 16:00,20-01-2015 00:00,,,,,,,,,,,
20-01-2015 00:00,20-01-2015 08:00,,,,,,,,,,,
20-01-2015 08:00,20-01-2015 16:00,,,,,,,,,,,
20-01-2015 16:00,21-01-2015 00:00,,,,,,,,,,,
21-01-2015 00:00,21-01-2015 08:00,,,,,,,,,,,
21-01-2015 08:00,21-01-2015 16:00,,,,,,,,,,,
21-01-2015 16:00,22-01-2015 00:00,,,,,,,,,,,
22-01-2015 00:00,22-01-2015 08:00,,,,,,,,,,,
22-01-2015 08:00,22-01-2015 16:00,,,,,,,,,,,
22-01-2015 16:00,23-01-2015 00:00,,,,,,,,,,,
23-01-2015 00:00,23-01-2015 08:00,,,,,,,,,,,
23-01-2015 08:00,23-01-2015 16:00,,,,,,,,,,,
23-01-2015 16:00,24-01-2015 00:00,,,,,,,,,,,
24-01-2015 00:00,24-01-2015 08:00,,,,,,,,,,,
24-01-2015 08:00,24-01-2015 16:00,,,,,,,,,,,
24-01-2015 16:00,25-01-2015 00:00,,,,,,,,,,,
25-01-2015 00:00,25-01-2015 08:00,,,,,,,,,,,
25-01-2015 08:00,25-01-2015 16:00,,,,,,,,,,,
25-01-2015 16:00,26-01-2015 00:00,,,,,,,,,,,
26-01-2015 00:00,26-01-2015 08:00,,,,,,,,,,,
26-01-2015 08:00,26-01-2015 16:00,,,,,,,,,,,
26-01-2015 16:00,27-01-2015 00:00,,,,,,,,,,,
27-01-2015 00:00,27-01-2015 08:00,,,,,,,,,,,
27-01-2015 08:00,27-01-2015 16:00,,,,,,,,,,,
27-01-2015 16:00,28-01-2015 00:00,,,,,,,,,,,
28-01-2015 00:00,28-01-2015 08:00,,,,,,,,,,,
28-01-2015 08:00,28-01-2015 16:00,,,,,,,,,,,
28-01-2015 16:00,29-01-2015 00:00,,,,,,,,,,,
29-01-2015 00:00,29-01-2015 08:00,,,,,,,,,,,
29-01-2015 08:00,29-01-2015 16:00,,,,,,,,,,,
29-01-2015 16:00,30-01-2015 00:00,,,,,,,,,,,
30-01-2015 00:00,30-01-2015 08:00,,,,,,,,,,,
30-01-2015 08:00,30-01-2015 16:00,,,,,,,,,,,
30-01-2015 16:00,31-01-2015 00:00,,,,,,,,,,,
31-01-2015 00:00,31-01-2015 08:00,,,,,,,,,,,
31-01-2015 08:00,31-01-2015 16:00,,,,,,,,,,,
31-01-2015 16:00,01-02-2015 00:00,,,,,,,,,,,
01-02-2015 00:00,01-02-2015 08:00,,,,,,,,,,,
01-02-2015 08:00,01-02-2015 16:00,,,,,,,,,,,
01-02-2015 16:00,02-02-2015 00:00,,,,,,,,,,,
02-02-2015 00:00,02-02-2015 08:00,,,,,,,,,,,
02-02-2015 08:00,02-02-2015 16:00,,,,,,,,,,,
02-02-2015 16:00,03-02-2015 00:00,,,,,,,,,,,
03-02-2015 00:00,03-02-2015 08:00,,,,,,,,,,,
03-02-2015 08:00,03-02-2015 16:00,,,,,,,,,,,
03-02-2015 16:00,04-02-2015 00:00,,,,,,,,,,,
04-02-2015 00:00,04-02-2015 08:00,,,,,,,,,,,
04-02-2015 08:00,04-02-2015 16:00,,,,,,,,,,,
04-02-2015 16:00,05-02-2015 00:00,,,,,,,,,,,
05-02-2015 00:00,05-02-2015 08:00,,,,,,,,,,,
05-02-2015 08:00,05-02-2015 16:00,,,,,,,,,,,
05-02-2015 16:00,06-02-2015 00:00,,,,,,,,,,,
06-02-2015 00:00,06-02-2015 08:00,,,,,,,,,,,
06-02-2015 08:00,06-02-2015 16:00,,,,,,,,,,,
06-02-2015 16:00,07-02-2015 00:00,,,,,,,,,,,
07-02-2015 00:00,07-02-2015 08:00,,,,,,,,,,,
07-02-2015 08:00,07-02-2015 16:00,,,,,,,,,,,
07-02-2015 16:00,08-02-2015 00:00,,,,,,,,,,,
08-02-2015 00:00,08-02-2015 08:00,,,,,,,,,,,
08-02-2015 08:00,08-02-2015 16:00,,,,,,,,,,,
08-02-2015 16:00,09-02-2015 00:00,,,,,,,,,,,
09-02-2015 00:00,09-02-2015 08:00,,,,,,,,,,,
09-02-2015 08:00,09-02-2015 16:00,,,,,,,,,,,
09-02-2015 16:00,10-02-2015 00:00,,,,,,,,,,,
10-02-2015 00:00,10-02-2015 08:00,,,,,,,,,,,
10-02-2015 08:00,10-02-2015 16:00,,,,,,,,,,,
10-02-2015 16:00,11-02-2015 00:00,,,,,,,,,,,
11-02-2015 00:00,11-02-2015 08:00,,,,,,,,,,,
11-02-2015 08:00,11-02-2015 16:00,,,,,,,,,,,
11-02-2015 16:00,12-02-2015 00:00,,,,,,,,,,,
12-02-2015 00:00,12-02-2015 08:00,,,,,,,,,,,
12-02-2015 08:00,12-02-2015 16:00,,,,,,,,,,,
12-02-2015 16:00,13-02-2015 00:00,,,,,,,,,,,
13-02-2015 00:00,13-02-2015 08:00,,,,,,,,,,,
13-02-2015 08:00,13-02-2015 16:00,,,,,,,,,,,
13-02-2015 16:00,14-02-2015 00:00,,,,,,,,,,,
