From Date,To Date,AT,BP,NO,NO2,NOx,Ozone,PM10,RH,SO2,SR,PM2.5
01-01-2017 00:00,01-01-2017 08:00,7.83,735.84,62.97,45.29,126.34,3.49,266.45,85.43,26.66,5.1,
01-01-2017 08:00,01-01-2017 16:00,16.09,735.3,28.69,51.82,85.4,52.54,261.66,63.67,22.41,208.38, 
01-01-2017 16:00,02-01-2017 00:00,11.94,735.34,333.97,71.87, ,11.65,454.57,76.58,34.95,9.34, 
02-01-2017 00:00,02-01-2017 08:00,8,735.71,337.37,39,495.47,17.87,383.18,86.88,22.82,4.78, 
02-01-2017 08:00,02-01-2017 16:00,18.08,734.99,77.39,85.58,181.96,43.2,265.2,55.91,15.45,215.07, 
02-01-2017 16:00,03-01-2017 00:00,13.5,735.69,71.58,84.23,172.8,13.19,321.05,74.92,26.23,9.21, 
03-01-2017 00:00,03-01-2017 08:00,8.43,735.95,86.53,54.01,166.3,2.63,306.44,86.4,25.77,4.46,13.5
03-01-2017 08:00,03-01-2017 16:00,16.39,735.08,24.69,70.82,96.82,59.3,215.33,61.56,20.27,216.04,9.79
03-01-2017 16:00,04-01-2017 00:00,12.57,735.18,301.23,95,496.07,13.34,564.9,74.33,39.32,8.48,44.78
04-01-2017 00:00,04-01-2017 08:00,7.53,735.71,260.43,32.65,384.72,6.91,391.22,86.47,23.99,4.45, 
04-01-2017 08:00,04-01-2017 16:00,19.14,734.39,56.71,43.91,116.57,74.54,245.86,50.58,16.67,228.15,12.38
04-01-2017 16:00,05-01-2017 00:00,13.27,735.52,94.11,77.53,197.64,17.71,276.22,69.97,25.46,8.84,184.86
05-01-2017 00:00,05-01-2017 08:00,8.54,735.8,166.12,37.47,260.3,8.01,282.17,86.14,23.45,5.05,34.12
05-01-2017 08:00,05-01-2017 16:00,19.26,734.76,26.87,63.35,93.12,75.26,233.4,53.57,20.51,212.23,6.31
05-01-2017 16:00,06-01-2017 00:00,13.61,735.49,309.78,92.03, ,15.92,507.53,71.69,38.93,8.92,291.33
06-01-2017 00:00,06-01-2017 08:00,9.79,735.95,144.65,51.3,243.25,5.52,315.73,86.41,16.62,5.03,265.43
06-01-2017 08:00,06-01-2017 16:00,18.1,734.94,6.99,51.01,54.99,63.35,240.08,55.94,19.75,208.19,163.91
06-01-2017 16:00,07-01-2017 00:00,14.75,735.38,9.1,61.22,66.99,22.15,233.82,73.32,24.47,9.15,175.51
07-01-2017 00:00,07-01-2017 08:00,11.12,735.59,3.12,27.45,28.71,18.37,174.98,85.01,21.5,3.91,166.82
07-01-2017 08:00,07-01-2017 16:00,11.08,735.67,13.71,39.18,53.63,12.2,150.12,81.49,24.17,47.18,148.19
07-01-2017 16:00,08-01-2017 00:00,10.63,735.7,26.74,43.99,75.68,6.66,216.31,83.25,24.65,6.51,193.38
08-01-2017 00:00,08-01-2017 08:00,9.06,735.5,4.74,37.01,39.44,12.59,147.27,84.03,20.81,4.94,19.5
08-01-2017 08:00,08-01-2017 16:00,14.64,735.24,5.43,45.75,48.18,58.4,159.39,59.94,23.9,225.62, 
08-01-2017 16:00,09-01-2017 00:00,10.61,735.53,82.22,81.85,185.18,12.71,294.09,73.94,24.9,10.53,175.87
09-01-2017 00:00,09-01-2017 08:00,7.27,735.83,41.94,53.47,104.9,5.64,187.32,85.5,25.97,5.6,168.55
09-01-2017 08:00,09-01-2017 16:00,13.18,735.5,32.39,62.97,100.34,50.25,245.47,62.69,27.27,239.13,187.67
09-01-2017 16:00,10-01-2017 00:00,9.94,735.56,73.1,76.06,167.56,18.07,266.07,71.05,28.52,10.54,186.42
10-01-2017 00:00,10-01-2017 08:00,4.97,735.92,18.2,56.86,75.51,5.77,160.34,78.51,22.39,5.74,119.94
10-01-2017 08:00,10-01-2017 16:00,12.39,735.41,17.7,41.31,60.95,77.68,185.3,40.92,26.3,274.24,114.04
